source_member,sha256,bytes,extension,category,disposition,reason
sources/art/05_export_runtime_candidates/art07_first_batch/props/07_lingjian_dui.png,609C73CDDC5300809CF78E8E341DF5F077916CC8983BC0847FBFC9006AB9B6A6,34861,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/08_saomiaoyi.png,CFA8A370608EFB8C9BCCB747F143D06C45ECF19BC67AFB5A76E2F303047F3810,40141,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/09_jinbi_dui.png,57645A3955E0C3478C7135ADBE1D69209A0FF854F2C213B9B91485D1C2782E16,30911,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/10_yiliaobao.png,7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63,35972,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/11_wuzi_xiang.png,6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC,41258,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui/icons/jinbi_icon.png,E6ED6B95506EF88CB28E54E4256737D5BEC22396F1B47B9863029E145962D08E,8516,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui/icons/xuetiao_tianchong.png,2B1F1E10F40A7E125C8A056C9F03CA089CC7666587A6B803FA9354E9336AB3E8,8309,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_button_blank/ui_button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,66360,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_back_main.png,5426CBCF75284BDE97B98A0E1677C9E78F349DCC6C78224F8E6441343BD0A3E2,18875,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,51391,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_nav_loadout.png,55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B,15773,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_nav_recovery.png,578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A,20026,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_nav_requisition.png,7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B,15841,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_nav_talent_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,23470,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_button_nav_warehouse.png,28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E,16248,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
