object_sha256,repository_object,extension,media_kind,semantic_family,lifecycle_role,canonical_source_member,alias_count,source_layers,distinct_names,same_name_other_sha_count,runtime_match_count,runtime_paths,base_authority,rights_status,review_status,runtime_admission,semantic_decision,decision_note
311AFD33C105CB4F4997671E6D113118708CFF1319B8F1D61AE5E8A49603226B,sources/base/美术素材/blobs/31/311afd33c105cb4f4997671e6d113118708cff1319b8f1d61ae5e8a49603226b.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/5/5_candidate_034.png,1,10_working,5_candidate_034.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
3121C60123D804869580215D63CA8FD7BAA0FDCF3C5118A548E763F34E16DFBB,sources/base/美术素材/blobs/31/3121c60123d804869580215d63ca8fd7baa0fdcf3c5118a548e763f34e16dfbb.csv,.csv,table,source_registry,stage_evidence,sources/art/ART-21R2/_manifest/map_overlay_marker_staging_manifest.csv,1,stage_output,map_overlay_marker_staging_manifest.csv,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,source_support_not_runtime_art,"Registry, metadata, document, or other support object."
3152AE6376B3265C1F1DD56F11FA110802726DE770468195C6C7BCC3C64322DF,sources/base/美术素材/blobs/31/3152ae6376b3265c1f1dd56f11fa110802726de770468195c6c7bcc3c64322df.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/tuzi/frames/04_front_walk_1.png,3,20_processed;30_game_ready;art_other,04_front_walk_1.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
316453D913315C34C0DB493D0C62E461DFFD9D423C0B195C588426F838A3017D,sources/base/美术素材/blobs/31/316453d913315c34c0db493d0c62e461dffd9d423c0b195c588426f838a3017d.png,.png,image,iconography,game_ready_source;processed_source,sources/draw/20_processed/ui_icon/ui_icon_account_gold.png,2,20_processed;30_game_ready,ui_icon_account_gold.png,0,1,res://assets/ui/common/gold_icon.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
318785A2715AED068B8FEF568C0A446A70B17CC448098A7B00CAC8AE00EA698F,sources/base/美术素材/blobs/31/318785a2715aed068b8fef568c0a446a70b17cc448098a7b00cac8ae00ea698f.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe/Zuhe_candidate_052.png,1,10_working,Zuhe_candidate_052.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
320F39D177D090A3DE5A3E150F5CF9DB217DA01D93C61BBEF0E61B48AC00C620,sources/base/美术素材/blobs/32/320f39d177d090a3de5a3e150f5cf9db217da01d93c61bbef0e61b48ac00c620.png,.png,image,item,processed_source,sources/draw/20_processed/item_recovered/item_chest_open.png,1,20_processed,item_chest_open.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
3295CAA4F282540E7F982C20D4AD048790EA3F7ACF73F83AF198C59E2CB0DA09,sources/base/美术素材/blobs/32/3295caa4f282540e7f982c20d4ad048790ea3f7acf73f83af198c59e2cb0da09.png,.png,image,map,stage_evidence,sources/art/ART-21/03_cut_output/map/ui_art21_map_cell_explored.png,2,stage_output,ui_art21_map_cell_explored.png,0,1,res://assets/ui/art21/map/ui_art21_map_cell_explored.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
32AFBE783A638122C3E328231F615BF605ED72FDC393DBA31CA4399660EC9946,sources/base/美术素材/blobs/32/32afbe783a638122c3e328231f615bf605ed72fdc393dba31ca4399660ec9946.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/1/1_candidate_006.png,1,10_working,1_candidate_006.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
32D6308D1BC908C7E1EF1D6FF34DF998889AC520591A64A950139D2FE7996F54,sources/base/美术素材/blobs/32/32d6308d1bc908c7e1ef1d6ff34df998889ac520591a64a950139d2fe7996f54.json,.json,metadata,source_metadata,stage_evidence,sources/art/ART-21R2/_manifest/modal_section_cut_summary.json,1,stage_output,modal_section_cut_summary.json,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,source_support_not_runtime_art,"Registry, metadata, document, or other support object."
339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35,sources/base/美术素材/blobs/33/339826acf7ceb1736b2a3d4b172022b0cd1ace084ac49feaa2df65d5793c4a35.png,.png,image,item,game_ready_source;processed_source;runtime_candidate;selected_source;stage_evidence,sources/draw/20_processed/item_equipment/item_equipment_flashlight.png,5,03_selected;05_export_runtime_candidates;20_processed;30_game_ready;stage_output,item_equipment_flashlight.png,0,1,res://assets/items/equipment/item_equipment_flashlight.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
