export_id,candidate_id,export_path,target_runtime_role,target_size,transparent_background,animation_frames,proposed_asset_id,manifest_status,notes
EXP-STG-ART07-0086,CAND-STG-ART07-0086,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\03_baoxiang_guan.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=541F72BFA7337FF4B8B23819C5A0188CB59881DAC1FA78307A532DBE66A0DDEE;staged_sha256=541F72BFA7337FF4B8B23819C5A0188CB59881DAC1FA78307A532DBE66A0DDEE;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\03_baoxiang_guan.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0088,CAND-STG-ART07-0088,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\04_shangren_tai.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=56C00AFD49CA374A53C9DC81A7E81883BD97CB0A995747C0108FD45D9B86C07F;staged_sha256=56C00AFD49CA374A53C9DC81A7E81883BD97CB0A995747C0108FD45D9B86C07F;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\04_shangren_tai.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0090,CAND-STG-ART07-0090,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\05_yichang_hexin.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=1AF589B83403E204126CA1F7402158ACC183FB47CEC733B5FE75285505092908;staged_sha256=1AF589B83403E204126CA1F7402158ACC183FB47CEC733B5FE75285505092908;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\05_yichang_hexin.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0092,CAND-STG-ART07-0092,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\06_dici_xianjing.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=F2866600D71DE3658A955CD45002893F48087ECC23D5F4B970419C270D6E6DA5;staged_sha256=F2866600D71DE3658A955CD45002893F48087ECC23D5F4B970419C270D6E6DA5;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\06_dici_xianjing.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0094,CAND-STG-ART07-0094,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\07_lingjian_dui.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=609C73CDDC5300809CF78E8E341DF5F077916CC8983BC0847FBFC9006AB9B6A6;staged_sha256=609C73CDDC5300809CF78E8E341DF5F077916CC8983BC0847FBFC9006AB9B6A6;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\07_lingjian_dui.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0096,CAND-STG-ART07-0096,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\08_saomiaoyi.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=CFA8A370608EFB8C9BCCB747F143D06C45ECF19BC67AFB5A76E2F303047F3810;staged_sha256=CFA8A370608EFB8C9BCCB747F143D06C45ECF19BC67AFB5A76E2F303047F3810;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\08_saomiaoyi.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0098,CAND-STG-ART07-0098,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\09_jinbi_dui.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=57645A3955E0C3478C7135ADBE1D69209A0FF854F2C213B9B91485D1C2782E16;staged_sha256=57645A3955E0C3478C7135ADBE1D69209A0FF854F2C213B9B91485D1C2782E16;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\09_jinbi_dui.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0100,CAND-STG-ART07-0100,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\10_yiliaobao.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63;staged_sha256=7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\10_yiliaobao.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0102,CAND-STG-ART07-0102,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\11_wuzi_xiang.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC;staged_sha256=6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\11_wuzi_xiang.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0104,CAND-STG-ART07-0104,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\main_menu\main_menu_bg_no_text.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313;staged_sha256=AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\main_menu\main_menu_bg_no_text.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
